query	chopping	dom_conf	dom_plddt	emb_rank	target	emb_score	q_len	t_len	ali_len	seq_id	q_tm	t_tm	max_tm	rmsd	metadata
AF-P50456-F1-model_v4_merizo_01	8-84	0.5685	89.3569	0	1t6sB02	0.9550	77	77	71	0.0990	0.7800	0.7800	0.7800	1.80	{"cath": "1.10.10.10", "res": "1.950"}
AF-P50456-F1-model_v4_merizo_02	85-209_379-406	0.9695	94.8030	0	1z05A02	0.9772	153	154	152	0.4210	0.9444	0.9385	0.9444	1.46	{"cath": "3.30.420.40", "res": "2.000"}
AF-P50456-F1-model_v4_merizo_03	210-378	1.0000	95.9371	0	1z6rD03	0.9963	169	166	166	1.0000	0.9769	0.9944	0.9944	0.36	{"cath": "3.30.420.40", "res": "2.700"}
